               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  86,            0.033219,           0.0084026,           0.0026438,             0.58301,             0.51403,             0.44161,             0.30025,            0.061928,           0.0061686,             0.01205,           0.0057925,           0.0057925,           0.0057925
                  87,            0.031121,           0.0077893,            0.002473,             0.58162,             0.50846,             0.44631,             0.29001,            0.063523,           0.0059905,             0.01202,            0.005743,            0.005743,            0.005743
                  88,            0.032368,           0.0087909,           0.0024875,             0.58856,             0.51447,             0.44662,             0.31897,            0.061218,           0.0061798,            0.011851,           0.0056935,           0.0056935,           0.0056935
                  89,            0.027461,           0.0083273,           0.0023926,             0.58178,             0.50565,             0.43411,             0.27658,            0.062211,           0.0062196,            0.012527,            0.005644,            0.005644,            0.005644
                  90,            0.029633,            0.006889,           0.0024948,             0.55345,             0.51452,             0.44158,             0.32136,            0.061247,           0.0063287,            0.013012,           0.0055945,           0.0055945,           0.0055945
                  91,             0.02909,           0.0075425,           0.0028911,             0.57574,             0.52267,              0.4257,             0.30927,            0.061077,           0.0065133,            0.013396,            0.005545,            0.005545,            0.005545
                  92,            0.031275,           0.0087467,           0.0025876,             0.54897,              0.5271,             0.41007,             0.26971,            0.061847,           0.0065993,            0.013525,           0.0054955,           0.0054955,           0.0054955
                  93,            0.028107,           0.0079166,           0.0025903,             0.53496,             0.52704,             0.42072,             0.27426,            0.061043,           0.0067887,            0.013741,            0.005446,            0.005446,            0.005446
                  94,            0.031155,           0.0081576,           0.0025556,             0.54224,             0.52826,             0.44227,             0.30576,            0.059413,           0.0068652,            0.013855,           0.0053965,           0.0053965,           0.0053965
                  95,            0.026342,           0.0076926,           0.0027233,             0.56074,             0.50672,             0.44404,             0.30286,            0.058858,           0.0066238,            0.013818,            0.005347,            0.005347,            0.005347
                  96,            0.029251,           0.0075742,           0.0027252,             0.56931,             0.50985,             0.44229,             0.28822,            0.060763,            0.006396,            0.013628,           0.0052975,           0.0052975,           0.0052975
                  97,            0.028107,           0.0073472,           0.0024275,             0.55849,             0.50985,              0.4397,             0.28773,            0.058676,           0.0064334,            0.013438,            0.005248,            0.005248,            0.005248
                  98,            0.030048,           0.0072078,           0.0026586,             0.57211,             0.50479,             0.43131,             0.26158,            0.058412,           0.0065123,             0.01351,           0.0051985,           0.0051985,           0.0051985
                  99,            0.029236,           0.0076857,           0.0025495,             0.51482,             0.50663,             0.43215,             0.30403,            0.059232,           0.0066168,            0.013841,            0.005149,            0.005149,            0.005149
                 100,            0.027581,           0.0072291,           0.0026829,             0.57617,             0.50886,             0.44015,             0.28176,            0.058783,           0.0066385,            0.013878,           0.0050995,           0.0050995,           0.0050995
                 101,            0.026487,           0.0071837,           0.0023311,             0.58252,             0.50985,             0.43598,             0.28675,            0.058852,            0.006694,            0.014368,             0.00505,             0.00505,             0.00505
                 102,            0.028479,           0.0070971,           0.0023916,             0.57379,             0.50298,             0.42361,             0.30066,            0.058528,           0.0067623,            0.014989,           0.0050005,           0.0050005,           0.0050005
                 103,            0.029244,           0.0069135,           0.0024979,             0.57661,              0.5065,             0.41963,             0.27366,            0.059201,           0.0068735,            0.014946,            0.004951,            0.004951,            0.004951
                 104,            0.026689,           0.0063722,           0.0023894,             0.57599,             0.50985,             0.42238,              0.3188,            0.059162,           0.0068792,            0.014867,           0.0049015,           0.0049015,           0.0049015
                 105,            0.024671,           0.0071316,           0.0021905,             0.56987,             0.50985,             0.42482,             0.28867,            0.059462,           0.0069383,            0.014646,            0.004852,            0.004852,            0.004852
                 106,            0.026261,           0.0075598,           0.0022255,             0.50621,             0.52642,             0.44802,             0.30153,            0.057346,           0.0069599,            0.014317,           0.0048025,           0.0048025,           0.0048025
                 107,            0.025579,            0.006644,           0.0020828,             0.49734,             0.53864,             0.44703,             0.30163,            0.057253,           0.0071034,            0.014624,            0.004753,            0.004753,            0.004753
                 108,             0.02777,           0.0071425,           0.0026491,              0.5116,             0.54145,             0.43792,             0.28131,            0.058378,           0.0071012,            0.014995,           0.0047035,           0.0047035,           0.0047035
                 109,            0.026567,           0.0071147,           0.0021089,             0.48302,             0.50254,             0.42867,             0.30638,            0.056473,           0.0071953,            0.015836,            0.004654,            0.004654,            0.004654
                 110,            0.027309,           0.0072907,           0.0020792,             0.50206,             0.53197,             0.42779,             0.28839,            0.057297,           0.0072278,            0.015731,           0.0046045,           0.0046045,           0.0046045
                 111,            0.027483,           0.0071075,           0.0021407,             0.51386,             0.53774,             0.42754,             0.29277,            0.058047,           0.0072294,            0.015279,            0.004555,            0.004555,            0.004555
                 112,            0.026236,           0.0064409,           0.0019459,             0.51341,             0.54799,             0.42901,              0.3073,            0.056915,           0.0069926,            0.014576,           0.0045055,           0.0045055,           0.0045055
                 113,            0.025324,           0.0064035,           0.0020492,             0.50806,             0.54629,             0.43817,             0.27827,            0.057885,           0.0069378,            0.014024,            0.004456,            0.004456,            0.004456
                 114,             0.02582,           0.0071403,           0.0019921,             0.43423,             0.55985,             0.42085,             0.29631,            0.056708,           0.0068503,            0.013659,           0.0044065,           0.0044065,           0.0044065
                 115,            0.025318,           0.0061802,           0.0020314,             0.47166,             0.54881,             0.42935,             0.33424,            0.055894,           0.0068352,            0.013831,            0.004357,            0.004357,            0.004357
                 116,            0.025906,           0.0065893,            0.001883,             0.51304,             0.55221,             0.43877,             0.33282,            0.055624,           0.0068229,            0.013832,           0.0043075,           0.0043075,           0.0043075
                 117,            0.022294,           0.0064609,           0.0021262,             0.50835,             0.54741,             0.43888,              0.3342,            0.056458,           0.0068565,            0.013516,            0.004258,            0.004258,            0.004258
                 118,            0.024931,           0.0067444,           0.0019556,             0.37022,             0.43454,             0.40796,             0.29388,            0.057078,           0.0069343,            0.013684,           0.0042085,           0.0042085,           0.0042085
                 119,            0.024951,           0.0065713,            0.001996,             0.51154,             0.54565,             0.44269,             0.31748,            0.058446,           0.0070054,            0.013524,            0.004159,            0.004159,            0.004159
                 120,            0.025239,           0.0067257,           0.0018405,             0.49027,             0.52201,             0.43629,             0.31161,            0.057193,           0.0070244,            0.013465,           0.0041095,           0.0041095,           0.0041095
                 121,             0.02434,           0.0067674,           0.0021603,             0.50945,             0.54847,             0.44279,             0.30363,            0.058553,           0.0071737,            0.013355,             0.00406,             0.00406,             0.00406
                 122,            0.027312,           0.0066645,           0.0018749,             0.51433,             0.54633,              0.4429,             0.30599,            0.057175,           0.0071144,            0.013078,           0.0040105,           0.0040105,           0.0040105
                 123,            0.024037,           0.0059184,           0.0017908,             0.51203,             0.55167,             0.44271,             0.30213,            0.056984,           0.0071094,            0.012812,            0.003961,            0.003961,            0.003961
                 124,            0.024212,           0.0080432,           0.0018069,             0.53803,             0.57237,             0.44531,             0.31654,            0.056649,           0.0071268,            0.012849,           0.0039115,           0.0039115,           0.0039115
                 125,            0.024417,           0.0068901,           0.0017315,             0.51152,             0.54184,             0.44977,             0.27935,             0.05912,           0.0072086,            0.012767,            0.003862,            0.003862,            0.003862
                 126,            0.023204,           0.0065696,            0.001735,             0.42841,             0.57933,             0.43153,             0.31441,            0.057912,           0.0073779,            0.012957,           0.0038125,           0.0038125,           0.0038125
                 127,            0.023455,           0.0067345,           0.0018882,             0.42297,             0.57857,             0.41779,             0.29485,            0.056549,           0.0073881,            0.013043,            0.003763,            0.003763,            0.003763
                 128,            0.022735,           0.0062553,           0.0017721,             0.44655,             0.57807,             0.41502,             0.31893,            0.056881,           0.0073286,            0.013196,           0.0037135,           0.0037135,           0.0037135
                 129,            0.019822,           0.0065469,           0.0017764,             0.38801,             0.53258,             0.40551,             0.28897,            0.057604,           0.0074257,            0.013756,            0.003664,            0.003664,            0.003664
                 130,            0.022469,           0.0067805,           0.0017516,             0.45938,               0.385,             0.40316,             0.31095,            0.057098,           0.0072726,            0.013511,           0.0036145,           0.0036145,           0.0036145
                 131,            0.022522,           0.0059452,           0.0016644,             0.44984,             0.37844,             0.40311,             0.28406,            0.056682,           0.0072991,            0.013633,            0.003565,            0.003565,            0.003565
                 132,            0.022844,           0.0060297,           0.0015918,             0.45441,             0.38134,             0.40358,             0.30304,            0.058526,           0.0073768,            0.013797,           0.0035155,           0.0035155,           0.0035155
                 133,              0.0224,           0.0065243,            0.001702,             0.45585,             0.37969,             0.40009,             0.28218,            0.058058,           0.0073299,            0.013899,            0.003466,            0.003466,            0.003466
                 134,            0.023305,           0.0066173,           0.0016922,             0.41332,              0.4452,             0.40908,             0.29873,            0.057502,           0.0074177,            0.013422,           0.0034165,           0.0034165,           0.0034165
                 135,            0.021834,           0.0073811,           0.0018154,             0.40701,             0.45372,             0.37556,             0.26739,            0.058881,           0.0074322,             0.01264,            0.003367,            0.003367,            0.003367
                 136,            0.024275,           0.0068617,           0.0029196,             0.41188,             0.44256,             0.37542,             0.26771,            0.058191,           0.0075481,            0.012569,           0.0033175,           0.0033175,           0.0033175
                 137,            0.019678,           0.0055057,           0.0015045,             0.40576,             0.45158,              0.3691,             0.24827,            0.059174,            0.007538,            0.012813,            0.003268,            0.003268,            0.003268
                 138,            0.021024,           0.0070315,           0.0014897,             0.47269,             0.38485,             0.35317,             0.24715,             0.05869,           0.0076741,             0.01328,           0.0032185,           0.0032185,           0.0032185
                 139,            0.022753,           0.0059092,           0.0015119,             0.47529,              0.3848,              0.3607,             0.24933,            0.058293,           0.0077566,            0.013651,            0.003169,            0.003169,            0.003169
                 140,            0.024302,            0.006593,            0.001572,              0.4722,             0.38485,             0.35247,             0.24887,            0.056664,           0.0079132,            0.013906,           0.0031195,           0.0031195,           0.0031195
                 141,            0.020936,           0.0063183,           0.0018977,             0.39444,             0.43266,             0.36777,             0.26892,            0.057733,           0.0077013,             0.01357,             0.00307,             0.00307,             0.00307
                 142,            0.020841,           0.0066685,            0.001609,             0.39422,             0.42932,             0.35791,             0.25655,            0.057562,           0.0077375,            0.014641,           0.0030205,           0.0030205,           0.0030205
                 143,            0.021581,            0.006567,           0.0014405,             0.38937,             0.42084,              0.3583,             0.25537,            0.057783,           0.0077402,             0.01552,            0.002971,            0.002971,            0.002971
                 144,            0.021644,           0.0068379,            0.001402,             0.38392,             0.42279,             0.35764,             0.25209,            0.057291,           0.0077574,             0.01574,           0.0029215,           0.0029215,           0.0029215
                 145,            0.019391,           0.0063161,           0.0014715,             0.39791,             0.44824,             0.36045,             0.25251,            0.058317,           0.0076388,            0.016313,            0.002872,            0.002872,            0.002872
                 146,            0.020281,           0.0063388,           0.0014664,             0.41718,             0.45181,             0.36049,             0.25964,            0.058137,           0.0075158,             0.01597,           0.0028225,           0.0028225,           0.0028225
                 147,            0.021258,           0.0051759,           0.0013463,             0.40074,             0.43791,             0.35893,             0.26223,            0.057757,           0.0073384,            0.015768,            0.002773,            0.002773,            0.002773
                 148,            0.019883,           0.0064676,           0.0015115,             0.42051,             0.44953,             0.36598,             0.26457,            0.057531,           0.0074062,            0.015554,           0.0027235,           0.0027235,           0.0027235
                 149,            0.020186,           0.0072189,           0.0014185,             0.41959,             0.45025,             0.37219,             0.26165,            0.058759,           0.0073041,             0.01547,            0.002674,            0.002674,            0.002674
                 150,            0.021319,           0.0062545,           0.0013979,             0.41859,             0.45013,             0.41367,             0.30976,            0.057711,           0.0073228,            0.014762,           0.0026245,           0.0026245,           0.0026245
                 151,            0.019054,           0.0063035,           0.0013644,             0.41549,             0.45172,             0.38601,             0.27747,            0.057403,           0.0074179,            0.014501,            0.002575,            0.002575,            0.002575
                 152,            0.018608,           0.0063156,           0.0014946,              0.4063,             0.44991,             0.37774,             0.27521,            0.056677,           0.0075396,             0.01462,           0.0025255,           0.0025255,           0.0025255
                 153,            0.019647,            0.006495,           0.0014696,             0.39895,             0.45188,              0.3747,             0.27887,             0.05838,           0.0075916,             0.01473,            0.002476,            0.002476,            0.002476
                 154,            0.020914,           0.0061112,           0.0024422,             0.39597,             0.44982,             0.37139,              0.2719,            0.057916,           0.0076994,            0.015014,           0.0024265,           0.0024265,           0.0024265
                 155,            0.019044,           0.0059828,           0.0014115,             0.39482,              0.4495,             0.36919,             0.27224,            0.056995,           0.0077687,            0.015158,            0.002377,            0.002377,            0.002377
                 156,            0.019125,           0.0054785,           0.0013842,               0.395,             0.44105,             0.36883,             0.27134,             0.05826,           0.0078261,            0.015164,           0.0023275,           0.0023275,           0.0023275
                 157,            0.019215,           0.0059291,           0.0014305,             0.39315,             0.44602,             0.39586,             0.29981,            0.058047,           0.0077786,            0.015408,            0.002278,            0.002278,            0.002278
                 158,            0.018477,           0.0059297,           0.0013382,             0.46229,             0.38789,             0.39523,             0.28974,            0.057606,            0.007912,            0.015683,           0.0022285,           0.0022285,           0.0022285
                 159,            0.017746,           0.0060748,           0.0013184,             0.46984,             0.38827,               0.395,             0.29653,            0.057235,           0.0079241,            0.015958,            0.002179,            0.002179,            0.002179
                 160,             0.01764,           0.0053105,           0.0013346,             0.47217,             0.38878,             0.39508,             0.29279,            0.058322,            0.007966,            0.016118,           0.0021295,           0.0021295,           0.0021295
                 161,             0.01824,           0.0060377,           0.0013103,             0.40065,             0.43308,             0.39595,             0.29264,            0.058075,           0.0079921,            0.016353,             0.00208,             0.00208,             0.00208
                 162,             0.01777,            0.006293,           0.0012999,             0.39743,             0.43643,             0.39588,             0.29844,            0.057572,           0.0081537,            0.016344,           0.0020305,           0.0020305,           0.0020305
                 163,            0.018028,           0.0059359,           0.0012859,             0.39101,              0.4436,             0.38513,             0.29921,            0.057927,           0.0082328,            0.015974,            0.001981,            0.001981,            0.001981
                 164,            0.018339,           0.0057076,           0.0012265,             0.39332,             0.43007,             0.38506,             0.30371,             0.05817,           0.0082999,            0.015816,           0.0019315,           0.0019315,           0.0019315
                 165,            0.017567,           0.0056029,           0.0012511,             0.37311,             0.45286,              0.3822,              0.2956,            0.057767,           0.0084309,            0.015748,            0.001882,            0.001882,            0.001882
                 166,             0.01784,           0.0051147,           0.0012931,             0.38926,             0.44665,             0.38495,             0.28836,            0.058075,           0.0084329,            0.015232,           0.0018325,           0.0018325,           0.0018325
                 167,            0.018487,           0.0056991,           0.0012393,             0.38933,             0.44763,             0.38319,             0.29161,            0.057897,           0.0084979,            0.015057,            0.001783,            0.001783,            0.001783
                 168,            0.016963,           0.0052691,           0.0011752,             0.38707,             0.43986,             0.38491,             0.28448,             0.05733,           0.0085111,            0.014964,           0.0017335,           0.0017335,           0.0017335
                 169,            0.018284,           0.0054219,           0.0011768,             0.36762,             0.43104,             0.38221,             0.28579,             0.05778,           0.0085333,            0.014948,            0.001684,            0.001684,            0.001684
                 170,            0.016477,           0.0056856,           0.0011271,             0.39073,             0.45069,             0.38526,             0.29921,            0.057685,           0.0084478,            0.015017,           0.0016345,           0.0016345,           0.0016345
                 171,            0.017008,           0.0058612,           0.0011182,             0.39355,             0.45233,             0.39542,              0.3082,            0.057377,           0.0084818,            0.014474,            0.001585,            0.001585,            0.001585
                 172,            0.016426,           0.0055334,           0.0011286,              0.3939,             0.45232,              0.3956,             0.30574,             0.05715,           0.0084785,            0.014471,           0.0015355,           0.0015355,           0.0015355
                 173,            0.016571,           0.0051674,           0.0011879,             0.39384,             0.45247,             0.38563,             0.27993,            0.057435,           0.0085217,            0.014332,            0.001486,            0.001486,            0.001486
